data,model,rmse,r2
저가 고가 시가 MA5 종가,KNN,1154.5573615215408,0.9716977115902847
저가 고가 시가 MA5 종가,RF,1257.8933959521962,0.9664047252710517
저가 고가 시가 MA5 종가,LGBM,1560.0555590142583,0.9483261698249177
저가 고가 시가 WMA 종가,KNN,1171.0669451637873,0.970882507778714
저가 고가 시가 WMA 종가,RF,1291.3192513239385,0.9645955563564896
저가 고가 시가 WMA 종가,LGBM,1603.9441000442064,0.9453778262246236
저가 고가 시가 PER 종가,RF,1173.1356432949544,0.9707795443998277
저가 고가 시가 PER 종가,LGBM,1456.8603012693122,0.9549363524930949
저가 고가 시가 PER 종가,KNN,2106.687967582358,0.9057696178514341
저가 고가 시가 foreign_보유수량 종가,KNN,1184.9716824781133,0.9701869459862131
저가 고가 시가 foreign_보유수량 종가,RF,1206.0836785973986,0.9691151566002976
저가 고가 시가 foreign_보유수량 종가,LGBM,1279.2773748828192,0.9652527882385837
저가 고가 시가 MA20 종가,KNN,1492.989469749636,0.9526735409365557
저가 고가 시가 MA20 종가,RF,1601.7035535581253,0.9455303228619534
저가 고가 시가 MA20 종가,LGBM,2213.2379575728974,0.8959967902862018
저가 고가 MA5 WMA 종가,KNN,1197.8467995479336,0.9695355686115006
저가 고가 MA5 WMA 종가,RF,1375.6446675581824,0.9598206357311183
저가 고가 MA5 WMA 종가,LGBM,1636.7095406747676,0.9431233837821781
저가 고가 MA5 PER 종가,RF,1208.5264473867226,0.9689899232777642
저가 고가 MA5 PER 종가,LGBM,1530.7132395377691,0.9502517051195494
저가 고가 MA5 PER 종가,KNN,2067.333374311023,0.909257329858374
저가 고가 MA5 foreign_보유수량 종가,KNN,1221.1627865515861,0.9683380509789212
저가 고가 MA5 foreign_보유수량 종가,RF,1311.374641464553,0.9634872885172717
저가 고가 MA5 foreign_보유수량 종가,LGBM,1316.0473759342597,0.9632266182720542
저가 고가 MA5 MA20 종가,KNN,1514.9210402307513,0.9512729053196654
저가 고가 MA5 MA20 종가,RF,1546.108272423154,0.9492459935479417
저가 고가 MA5 MA20 종가,LGBM,2232.8403094165797,0.8941463468829435
저가 고가 WMA PER 종가,RF,1191.9168043568766,0.96983645310514
저가 고가 WMA PER 종가,LGBM,1532.4816817008261,0.9501366897135282
저가 고가 WMA PER 종가,KNN,2089.2684666166087,0.9073214945146764
저가 고가 WMA foreign_보유수량 종가,KNN,1231.9357967214457,0.9677769479742635
저가 고가 WMA foreign_보유수량 종가,RF,1288.165422100813,0.964768283920267
저가 고가 WMA foreign_보유수량 종가,LGBM,1478.8868339510823,0.953563400643668
저가 고가 WMA MA20 종가,RF,1500.286286215998,0.9522098050838195
저가 고가 WMA MA20 종가,LGBM,1543.3334059765364,0.9494280108234792
저가 고가 WMA MA20 종가,KNN,1558.0194334287619,0.948460967263608
저가 고가 PER foreign_보유수량 종가,RF,1211.6018254465591,0.9688318976879936
저가 고가 PER foreign_보유수량 종가,LGBM,1276.398858025176,0.9654089825217045
저가 고가 PER foreign_보유수량 종가,KNN,2228.2199853814986,0.8945839708017005
저가 고가 PER MA20 종가,RF,1507.4773795065053,0.9517505762437224
저가 고가 PER MA20 종가,LGBM,1752.1907668038468,0.9348141552743084
저가 고가 PER MA20 종가,KNN,2243.5460263281657,0.8931288482381015
저가 고가 foreign_보유수량 MA20 종가,RF,1550.9882805517564,0.9489250964326041
저가 고가 foreign_보유수량 MA20 종가,KNN,1573.376485970625,0.9474399422676529
저가 고가 foreign_보유수량 MA20 종가,LGBM,1916.1027815630807,0.9220478450587978
저가 시가 MA5 WMA 종가,KNN,1253.042852588677,0.9666633181734745
저가 시가 MA5 WMA 종가,RF,1382.4695135159961,0.9594209711910435
저가 시가 MA5 WMA 종가,LGBM,1691.7315881434756,0.9392350087131164
저가 시가 MA5 PER 종가,RF,1216.6323550246557,0.9685725425848142
저가 시가 MA5 PER 종가,LGBM,1447.8112544812375,0.95549442469244
저가 시가 MA5 PER 종가,KNN,2086.2305159066905,0.9075908213501618
저가 시가 MA5 foreign_보유수량 종가,KNN,1265.2465141462485,0.9660108094691267
저가 시가 MA5 foreign_보유수량 종가,LGBM,1342.3217766873533,0.9617436268759283
저가 시가 MA5 foreign_보유수량 종가,RF,1369.6740256222029,0.9601686558227774
저가 시가 MA5 MA20 종가,KNN,1546.8272047883347,0.9491987818719161
저가 시가 MA5 MA20 종가,RF,1596.8917711383406,0.945857103112969
저가 시가 MA5 MA20 종가,LGBM,2286.495370549257,0.8889979049697359
저가 시가 WMA PER 종가,RF,1247.9463782484615,0.9669339458360169
저가 시가 WMA PER 종가,LGBM,1524.9337798360502,0.9506266616715909
저가 시가 WMA PER 종가,KNN,2099.2549176626612,0.9064333929306306
저가 시가 WMA foreign_보유수량 종가,KNN,1274.9882219993058,0.9654853980897408
저가 시가 WMA foreign_보유수량 종가,RF,1333.0842504450234,0.9622683568935775
저가 시가 WMA foreign_보유수량 종가,LGBM,1560.8563713288675,0.9482731054834248
저가 시가 WMA MA20 종가,LGBM,1567.5724324565645,0.9478270062890056
저가 시가 WMA MA20 종가,KNN,1585.1521006895337,0.9466502481146353
저가 시가 WMA MA20 종가,RF,1587.378722909191,0.9465002648122739
저가 시가 PER foreign_보유수량 종가,RF,1186.3303079022849,0.9701185426748724
저가 시가 PER foreign_보유수량 종가,LGBM,1258.300826814868,0.9663829587707496
저가 시가 PER foreign_보유수량 종가,KNN,2282.4883436009104,0.8893866209509488
저가 시가 PER MA20 종가,RF,1471.126085202618,0.9540494921855236
저가 시가 PER MA20 종가,LGBM,1742.1812962329204,0.9355567823417651
저가 시가 PER MA20 종가,KNN,2229.6147610767944,0.8944519571456502
저가 시가 foreign_보유수량 MA20 종가,RF,1550.8306907885724,0.9489354749417795
저가 시가 foreign_보유수량 MA20 종가,KNN,1597.558065953952,0.945811912000796
저가 시가 foreign_보유수량 MA20 종가,LGBM,1987.3885028611235,0.9161397661766577
저가 MA5 WMA PER 종가,RF,1253.8518897637443,0.9666202560838862
저가 MA5 WMA PER 종가,LGBM,1713.828620947081,0.937637243188298
저가 MA5 WMA PER 종가,KNN,2131.5441680173326,0.9035329061732251
저가 MA5 WMA foreign_보유수량 종가,KNN,1309.0352306617128,0.9636174451309178
저가 MA5 WMA foreign_보유수량 종가,LGBM,1374.1354396415013,0.9599087494068463
저가 MA5 WMA foreign_보유수량 종가,RF,1375.7355300415932,0.9598153277944476
저가 MA5 WMA MA20 종가,LGBM,1525.5817488850025,0.9505846936956085
저가 MA5 WMA MA20 종가,RF,1580.0530124332886,0.9469929250784929
저가 MA5 WMA MA20 종가,KNN,1642.5118604705326,0.9427194009367196
저가 MA5 PER foreign_보유수량 종가,RF,1325.3163418887523,0.9627068018234364
저가 MA5 PER foreign_보유수량 종가,LGBM,1388.9849956405562,0.9590375776122355
저가 MA5 PER foreign_보유수량 종가,KNN,2241.9877805427755,0.8932772505333635
저가 MA5 PER MA20 종가,RF,1433.7877230631696,0.9563524131710888
저가 MA5 PER MA20 종가,LGBM,1664.713117978594,0.9411604521929613
저가 MA5 PER MA20 종가,KNN,2266.8291500098876,0.8908991584935452
저가 MA5 foreign_보유수량 MA20 종가,RF,1590.180646640605,0.9463112305589981
저가 MA5 foreign_보유수량 MA20 종가,KNN,1652.419436420807,0.9420262875344494
저가 MA5 foreign_보유수량 MA20 종가,LGBM,1913.4262565400902,0.9222654692638967
저가 WMA PER foreign_보유수량 종가,RF,1334.573840458219,0.962183987011744
저가 WMA PER foreign_보유수량 종가,LGBM,1540.4074215065873,0.9496195865186949
저가 WMA PER foreign_보유수량 종가,KNN,2265.0684363801374,0.8910685764098226
저가 WMA PER MA20 종가,LGBM,1462.3686638735885,0.9545949385891458
저가 WMA PER MA20 종가,RF,1468.9241581240615,0.9541869432816007
저가 WMA PER MA20 종가,KNN,2277.380155894674,0.8898811703617034
저가 WMA foreign_보유수량 MA20 종가,RF,1496.5717342650685,0.9524461591769683
저가 WMA foreign_보유수량 MA20 종가,LGBM,1499.1587249357133,0.9522816128772098
저가 WMA foreign_보유수량 MA20 종가,KNN,1709.9613183495367,0.937918372279778
저가 PER foreign_보유수량 MA20 종가,RF,1526.736103534038,0.9505098837160649
저가 PER foreign_보유수량 MA20 종가,LGBM,1914.379892070521,0.922187965484293
저가 PER foreign_보유수량 MA20 종가,KNN,2391.286996384829,0.8785901486890453
고가 시가 MA5 WMA 종가,KNN,1223.6217111840685,0.9682104140566444
고가 시가 MA5 WMA 종가,RF,1306.1034538061074,0.9637802307966454
고가 시가 MA5 WMA 종가,LGBM,1688.7370381776325,0.9394499396819996
고가 시가 MA5 PER 종가,RF,1180.1038359127235,0.9704313860656826
고가 시가 MA5 PER 종가,LGBM,1691.3490840162183,0.9392624837954435
고가 시가 MA5 PER 종가,KNN,2068.1723856039116,0.9091836604878067
고가 시가 MA5 foreign_보유수량 종가,KNN,1233.4445223882967,0.9676979738668112
고가 시가 MA5 foreign_보유수량 종가,RF,1341.020344191671,0.9618177729596528
고가 시가 MA5 foreign_보유수량 종가,LGBM,1354.4805752903696,0.9610474328279326
고가 시가 MA5 MA20 종가,KNN,1521.776106029241,0.9508309242873901
고가 시가 MA5 MA20 종가,RF,1557.3937899988985,0.9485023513212205
고가 시가 MA5 MA20 종가,LGBM,2139.411680089905,0.9028194734544153
고가 시가 WMA PER 종가,RF,1218.104673037239,0.9684964321489846
고가 시가 WMA PER 종가,LGBM,1590.2163449930888,0.946308819987428
고가 시가 WMA PER 종가,KNN,2082.2129584109134,0.9079463925197196
고가 시가 WMA foreign_보유수량 종가,KNN,1254.7955402213372,0.9665699939055546
고가 시가 WMA foreign_보유수량 종가,RF,1299.2898304596822,0.9641571445062922
고가 시가 WMA foreign_보유수량 종가,LGBM,1664.1152864124556,0.9412027055066539
고가 시가 WMA MA20 종가,RF,1551.987222146898,0.9488592838449489
고가 시가 WMA MA20 종가,KNN,1570.5787721594893,0.9476266963768801
고가 시가 WMA MA20 종가,LGBM,1747.3573546640114,0.9351732891076561
고가 시가 PER foreign_보유수량 종가,RF,1184.7011430493997,0.970200557595665
고가 시가 PER foreign_보유수량 종가,LGBM,1348.3751966621621,0.9613978020885954
고가 시가 PER foreign_보유수량 종가,KNN,2232.16966192798,0.8942099249409939
고가 시가 PER MA20 종가,RF,1463.160262253835,0.9545457686335288
고가 시가 PER MA20 종가,LGBM,1713.4832234437101,0.937662377288301
고가 시가 PER MA20 종가,KNN,2231.97000112956,0.8942288492965715
고가 시가 foreign_보유수량 MA20 종가,RF,1503.5511876997066,0.9520015780872125
고가 시가 foreign_보유수량 MA20 종가,KNN,1587.881091180914,0.9464663966218804
고가 시가 foreign_보유수량 MA20 종가,LGBM,1981.0374556286433,0.9166748898291313
고가 MA5 WMA PER 종가,RF,1219.8673576113797,0.9684051903487202
고가 MA5 WMA PER 종가,LGBM,1540.4149931099455,0.9496190912452496
고가 MA5 WMA PER 종가,KNN,2062.7622180170356,0.9096581750673508
고가 MA5 WMA foreign_보유수량 종가,KNN,1278.937461843833,0.9652712509448598
고가 MA5 WMA foreign_보유수량 종가,RF,1280.0930700366418,0.9652084629516696
고가 MA5 WMA foreign_보유수량 종가,LGBM,1505.1309224217362,0.9519006641872523
고가 MA5 WMA MA20 종가,RF,1489.141582232449,0.9529171759016397
고가 MA5 WMA MA20 종가,KNN,1640.4109724027612,0.9428658390456216
고가 MA5 WMA MA20 종가,LGBM,1684.7032909519266,0.9397388561088529
고가 MA5 PER foreign_보유수량 종가,RF,1304.1208698176551,0.9638901060652202
고가 MA5 PER foreign_보유수량 종가,LGBM,1329.723902329078,0.9624583398629847
고가 MA5 PER foreign_보유수량 종가,KNN,2211.1931550217896,0.896188877889915
고가 MA5 PER MA20 종가,RF,1383.7170414607017,0.9593477018523794
고가 MA5 PER MA20 종가,LGBM,1641.5028559306252,0.9427897549275398
고가 MA5 PER MA20 종가,KNN,2256.6879458534104,0.8918731525003712
고가 MA5 foreign_보유수량 MA20 종가,RF,1546.0322366612004,0.9492509854682725
고가 MA5 foreign_보유수량 MA20 종가,KNN,1643.8984418661746,0.9426226494438271
고가 MA5 foreign_보유수량 MA20 종가,LGBM,2052.213825544733,0.9105797785647233
고가 WMA PER foreign_보유수량 종가,RF,1318.5039550786507,0.9630892052319364
고가 WMA PER foreign_보유수량 종가,LGBM,1531.042773916835,0.950230283029927
고가 WMA PER foreign_보유수량 종가,KNN,2224.336755631999,0.8949510781447642
고가 WMA PER MA20 종가,RF,1401.5959914342136,0.9582903816185668
고가 WMA PER MA20 종가,LGBM,1504.2412199353046,0.9519575116680349
고가 WMA PER MA20 종가,KNN,2299.480971409849,0.8877335052741522
고가 WMA foreign_보유수량 MA20 종가,RF,1432.500330238231,0.9564307600031796
고가 WMA foreign_보유수량 MA20 종가,LGBM,1528.2188083602991,0.9504137114102158
고가 WMA foreign_보유수량 MA20 종가,KNN,1700.6439397178929,0.938593080069783
고가 PER foreign_보유수량 MA20 종가,RF,1583.9109003765118,0.9467337628813539
고가 PER foreign_보유수량 MA20 종가,LGBM,2023.3197026271978,0.9130800347429444
고가 PER foreign_보유수량 MA20 종가,KNN,2404.3770003839736,0.8772573055241438
시가 MA5 WMA PER 종가,RF,1240.8669398573577,0.96730804061891
시가 MA5 WMA PER 종가,LGBM,1613.2557604787235,0.9447417697257615
시가 MA5 WMA PER 종가,KNN,2103.018293381177,0.9060976148161917
시가 MA5 WMA foreign_보유수량 종가,KNN,1344.1946660302435,0.9616367971426065
시가 MA5 WMA foreign_보유수량 종가,RF,1354.7198707396428,0.9610336681485191
시가 MA5 WMA foreign_보유수량 종가,LGBM,1511.175246584801,0.9515135726353863
시가 MA5 WMA MA20 종가,RF,1639.5591207691498,0.9429251622179804
시가 MA5 WMA MA20 종가,KNN,1661.22580603517,0.9414067131652306
시가 MA5 WMA MA20 종가,LGBM,1697.0691503756393,0.9388509660191187
시가 MA5 PER foreign_보유수량 종가,LGBM,1320.8368267064773,0.9629584747589566
시가 MA5 PER foreign_보유수량 종가,RF,1349.0179157507916,0.9613609929236075
시가 MA5 PER foreign_보유수량 종가,KNN,2231.0375421372933,0.8943172077051472
시가 MA5 PER MA20 종가,RF,1483.5954735053524,0.9532672301871972
시가 MA5 PER MA20 종가,LGBM,1749.644813534375,0.9350034492104142
시가 MA5 PER MA20 종가,KNN,2246.0846159267903,0.8928868603482006
시가 MA5 foreign_보유수량 MA20 종가,RF,1548.9272905405433,0.9490607453323022
시가 MA5 foreign_보유수량 MA20 종가,KNN,1670.6282934954802,0.9407415636769323
시가 MA5 foreign_보유수량 MA20 종가,LGBM,2213.562838953922,0.89596625476587
시가 WMA PER foreign_보유수량 종가,RF,1304.028654610102,0.9638952125913283
시가 WMA PER foreign_보유수량 종가,LGBM,1794.826080695357,0.9316032814565103
시가 WMA PER foreign_보유수량 종가,KNN,2249.552707739629,0.8925558265193296
시가 WMA PER MA20 종가,RF,1363.3262672778505,0.9605369972666077
시가 WMA PER MA20 종가,LGBM,1602.7246460757572,0.9454608514442555
시가 WMA PER MA20 종가,KNN,2258.588675567571,0.8916909328333116
시가 WMA foreign_보유수량 MA20 종가,RF,1541.8461543020328,0.94952543246317
시가 WMA foreign_보유수량 MA20 종가,LGBM,1573.7729423482142,0.947413450966161
시가 WMA foreign_보유수량 MA20 종가,KNN,1724.4067137499856,0.9368650366137057
시가 PER foreign_보유수량 MA20 종가,RF,1621.8111209862727,0.9441541287094736
시가 PER foreign_보유수량 MA20 종가,LGBM,1986.8899482578547,0.9161818351143317
시가 PER foreign_보유수량 MA20 종가,KNN,2382.649021515734,0.8794656948602132
MA5 WMA PER foreign_보유수량 종가,RF,1352.883616616939,0.9611392303336458
MA5 WMA PER foreign_보유수량 종가,LGBM,1544.3510027820582,0.949361299560528
MA5 WMA PER foreign_보유수량 종가,KNN,2317.7414534538366,0.8859433794526442
MA5 WMA PER MA20 종가,RF,1379.551197138002,0.959592110520508
MA5 WMA PER MA20 종가,LGBM,1525.77426244326,0.9505722214479727
MA5 WMA PER MA20 종가,KNN,2376.676410705332,0.8800692266363243
MA5 WMA foreign_보유수량 MA20 종가,LGBM,1363.6657719635882,0.9605173401340822
MA5 WMA foreign_보유수량 MA20 종가,RF,1518.2918287826337,0.9510558227653919
MA5 WMA foreign_보유수량 MA20 종가,KNN,1811.6073636482467,0.9303183096325112
MA5 PER foreign_보유수량 MA20 종가,RF,1589.9960726523118,0.9463236932628011
MA5 PER foreign_보유수량 MA20 종가,LGBM,1887.7443542629514,0.9243381627127776
MA5 PER foreign_보유수량 MA20 종가,KNN,2418.543343214664,0.8758066698295193
WMA PER foreign_보유수량 MA20 종가,LGBM,1403.131879285892,0.9581989196050059
WMA PER foreign_보유수량 MA20 종가,RF,1552.9777554233758,0.9487939833762021
WMA PER foreign_보유수량 MA20 종가,KNN,2483.319193601826,0.8690650419926846
