n_estimators,max_depth,min_samples_leaf,min_samples_split,RMSE,R2
100,10,15,30,1677.1706169709378,0.9402765326822853
300,5,15,30,1687.095590774602,0.9395675914344634
200,30,15,2,1699.7040213775163,0.9386609385311108
100,30,15,25,1702.860077641222,0.9384329349989066
500,20,15,10,1703.2907266339284,0.9384017907522236
200,20,15,15,1704.9668194774067,0.9382805018683704
500,10,15,15,1707.0632620536594,0.9381286268493435
500,,15,5,1708.046803522884,0.9380573106970336
200,15,15,15,1709.350162303695,0.9379627414492752
200,10,15,2,1709.481912538107,0.9379531778870223
100,20,15,2,1710.2039187172704,0.9379007553969368
200,,15,25,1711.7259925987626,0.9377901701055986
100,20,15,30,1718.029311247318,0.937331159287148
100,20,15,5,1718.990480619969,0.9372610182021612
100,30,15,10,1719.8133545867727,0.9372009380189903
100,5,15,15,1720.5833381299449,0.937144693463678
500,15,15,5,1721.9781650776583,0.9370427422124904
500,20,15,30,1722.0325544989812,0.9370387650855254
200,20,15,10,1722.039991412483,0.9370382212650641
300,30,15,5,1722.620196551411,0.9369957868246404
100,,15,15,1722.7038513259815,0.936989667389564
300,30,15,30,1723.247067638892,0.9369499233127322
500,30,15,5,1724.9359185657815,0.9368262795696515
500,20,15,5,1725.1581335460965,0.9368100018040565
500,15,15,25,1725.7167306212193,0.9367690740049234
100,,15,5,1725.7986154557104,0.9367630732787819
300,,15,15,1726.1891207841159,0.9367344521517571
500,20,15,25,1726.531373813893,0.9367093622334703
200,,15,15,1726.6804899644217,0.9366984292565611
300,5,15,2,1726.7365356549176,0.9366943198248041
300,30,15,2,1726.8152189455632,0.9366885503138007
500,5,15,5,1726.8498108467727,0.9366860137536351
200,5,15,10,1726.9968574710338,0.9366752305294314
200,5,15,5,1727.0948323134066,0.9366680453278282
300,,15,5,1727.4514780924644,0.9366418864788633
100,15,15,25,1727.8271428409903,0.9366143268071704
500,15,15,2,1727.9500695077786,0.9366053073092022
200,5,15,25,1729.3289340685692,0.9365040919172757
300,10,15,2,1729.6927811708401,0.9364773703004718
500,10,15,25,1730.0951598134063,0.9364478123086488
200,10,15,25,1730.6272831914698,0.9364087129501809
500,10,15,30,1730.6360674702528,0.9364080673981123
200,10,15,15,1731.0370039237202,0.9363785992993335
500,30,15,2,1731.3716458458946,0.9363539985014426
200,15,15,5,1731.4675470627399,0.9363469475623223
300,5,15,15,1731.7644362063584,0.9363251169245608
300,15,15,2,1732.1389596607899,0.9362975723978224
500,10,15,2,1733.21225034122,0.9362186036707214
300,10,15,25,1733.2358029520904,0.9362168702089194
300,30,15,15,1733.3854585820818,0.9362058550700018
300,,15,10,1733.8842989829895,0.9361691319329036
500,20,15,15,1734.0050610453045,0.9361602402026905
300,,15,2,1734.1369024333417,0.9361505319928283
100,,15,25,1735.6010576172412,0.9360426685421541
100,10,15,10,1735.7822408871666,0.9360293145478743
500,30,15,10,1735.9069924959651,0.9360201190018921
300,,15,25,1736.0453831950476,0.9360099173339033
300,10,15,30,1736.106610187424,0.936005403639238
200,20,15,2,1736.2285719415552,0.9359964120631116
200,20,15,5,1736.2441158344175,0.935995266051137
500,5,15,10,1736.8401019700805,0.935951317759855
100,10,15,5,1736.9369293996488,0.9359441762364291
500,,15,15,1737.6431474642495,0.9358920769625737
200,20,15,25,1738.0788094697616,0.935859926647258
200,5,15,2,1738.124889041867,0.9358565256664773
300,10,15,15,1738.1488759576293,0.935854755235892
500,,15,30,1738.2601352227452,0.9358465430725907
500,,15,10,1738.625931211257,0.9358195395811109
300,10,15,10,1738.7802809543964,0.9358081435963568
100,15,15,30,1738.8919065641153,0.9357999013990059
300,20,15,2,1739.2984405762927,0.9357698793206234
300,20,15,15,1739.879455564033,0.9357269598364416
500,5,15,25,1740.0402852315833,0.9357150768414314
100,15,15,15,1740.5127054532986,0.9356801654424685
300,,15,30,1740.5329662140882,0.9356786679798383
100,,15,2,1740.6492799758978,0.9356700709509778
200,,15,30,1740.8285746396261,0.9356568177274172
200,15,15,30,1742.0839540809056,0.9355639835053341
500,15,15,15,1742.2377092453994,0.9355526088439681
500,30,15,25,1742.2436328402864,0.935552170601949
300,5,15,5,1742.506947605818,0.935532688427176
300,30,15,10,1743.0099328732126,0.9354954652895681
500,30,15,30,1743.1637053684904,0.935484083299584
300,5,15,10,1743.2897402005433,0.9354747536575597
200,15,15,10,1743.3364607975154,0.9354712950260354
200,15,15,25,1743.4298189654658,0.9354643836315726
300,15,15,25,1743.4975636475713,0.9354593681962411
500,5,15,30,1743.6383066916108,0.9354489477496511
500,,15,25,1744.2556399763062,0.9354032311955904
100,,15,10,1744.294482271757,0.9354003541921758
500,10,15,5,1745.1857846045332,0.9353343188682193
100,5,15,10,1745.6722854694897,0.9352982604782422
100,5,15,2,1745.723775369025,0.9352944435703061
300,5,15,25,1745.9164911045254,0.9352801566970189
300,20,15,10,1746.0481096559738,0.9352703983229471
300,10,15,5,1746.0790330797643,0.9352681055125501
200,,15,5,1746.1917258154829,0.935259749591031
500,,15,2,1746.9782354467059,0.9352014165947112
200,30,15,30,1747.2766305790958,0.9351792786735826
200,30,15,25,1747.3798412480833,0.9351716205987384
100,30,15,2,1747.5586220279895,0.935158354266065
100,20,15,10,1748.1031964569138,0.9351179360465262
500,30,15,15,1748.4773229441892,0.9350901611459633
100,30,15,15,1748.6724325317787,0.935075673982384
500,15,15,10,1748.7133574337518,0.9350726350452794
100,15,15,10,1748.9676150547232,0.9350537531886207
200,5,15,30,1749.1253227606476,0.9350420400096016
300,15,15,10,1749.198595784243,0.9350365975570027
500,5,15,2,1749.352782086505,0.9350251444169316
100,,15,30,1749.6067015691417,0.9350062807786107
200,30,15,15,1749.9045879749601,0.9349841473544834
500,5,15,15,1750.2520592291037,0.9349583249377329
300,20,15,30,1751.599176040091,0.9348581651325298
100,30,15,5,1751.9938528232196,0.93482880582851
200,30,15,5,1752.149567671229,0.9348172206582146
100,20,15,15,1752.7370774966241,0.9347735007105402
100,15,15,2,1753.1580874916738,0.9347421619472053
300,20,15,5,1754.9882415978095,0.9346058431067018
500,10,15,10,1756.0878800739526,0.9345238682444776
100,5,15,5,1756.6409049746428,0.9344826224352392
200,,15,10,1757.6539989887904,0.9344070299759115
200,10,15,5,1757.9094563919227,0.9343879620279885
300,30,15,25,1758.4269065343065,0.9343493298275742
300,20,15,25,1758.6856024717051,0.9343300116393797
200,15,15,2,1759.5610345345372,0.9342646174361404
300,15,15,15,1759.8389865362062,0.9342438477965175
200,30,15,10,1760.270195156649,0.9342116197418803
200,20,15,30,1760.7288452025334,0.9341773320800152
500,15,15,30,1760.9097323752972,0.9341638068993063
200,10,15,30,1761.168484257839,0.9341444572527136
300,15,15,30,1761.2136571629567,0.9341410788998046
100,10,15,2,1761.9115979570065,0.9340888708837898
100,5,15,30,1765.9901595886927,0.9337833688998418
200,10,15,10,1766.2435667338216,0.9337643642963958
500,20,15,2,1766.4505249354704,0.9337488411698903
300,15,15,5,1767.7340880067648,0.9336525254958428
100,10,15,15,1773.5590667701467,0.9332145530897935
100,15,15,5,1776.4622122000462,0.9329957314486084
200,5,15,15,1777.7104440195633,0.9329015372200908
100,20,15,25,1778.8003368749885,0.9328192374810728
100,10,15,25,1781.216512934472,0.9326366078872612
200,,15,2,1796.592494894326,0.931468587194702
100,5,15,25,1805.2264412575705,0.9308083169194348
200,,20,30,2113.449903532791,0.9051637356215364
100,20,20,25,2128.4907266448886,0.903809086834466
100,15,20,25,2135.9156331662166,0.9031368224625238
100,5,20,10,2137.2255658491117,0.90301797586729
100,5,20,25,2138.067072176323,0.9029415898695743
100,15,20,10,2143.4075616974806,0.9024561169990533
200,5,20,30,2146.619257569596,0.9021635772102158
100,20,20,5,2154.9474840707144,0.9014029537496964
200,30,20,25,2157.1560113585906,0.9012007531364825
500,15,20,15,2157.979894276755,0.9011252699023
200,30,20,5,2158.430407578767,0.9010839821860048
500,15,20,10,2159.196030072829,0.9010137962216099
100,30,20,25,2159.56569030482,0.9009798999057546
300,5,20,2,2163.188435822215,0.9006474020226937
500,5,20,30,2163.229657324559,0.900643615480288
200,5,20,15,2165.2382721547515,0.9004590198603969
100,10,20,10,2165.463750149004,0.9004382872976486
300,5,20,5,2167.092979789357,0.9002884164776838
100,5,20,30,2167.158332746848,0.9002824023885808
200,5,20,10,2167.1944055023946,0.9002790827248487
100,5,20,15,2167.708370589946,0.9002317781107751
300,,20,2,2168.0925328694916,0.9001964130365353
200,30,20,10,2169.3098989910577,0.9000843037850503
500,5,20,2,2169.6621691102937,0.9000518509095546
100,,20,10,2171.4648960918544,0.899885692250141
100,10,20,30,2171.773126254707,0.8998572686366297
500,30,20,10,2171.9687254169985,0.899839229260224
300,15,20,10,2172.196792942996,0.8998181933969966
500,10,20,30,2172.546620293789,0.8997859226946534
200,5,20,2,2172.5944763037437,0.899781507692778
300,15,20,25,2175.9426982197338,0.899472372859047
200,30,20,30,2178.4086515119398,0.899244391762488
300,5,20,25,2179.8582183901917,0.8991102566123196
300,20,20,2,2180.5962433519485,0.8990419294587189
200,10,20,5,2182.3793707471377,0.8988767501360941
500,20,20,30,2183.61782939253,0.8987619465418918
500,15,20,25,2183.6702579236776,0.8987570850445298
500,15,20,5,2183.9073952511512,0.8987350947483297
300,15,20,15,2184.193715136491,0.8987085404569212
100,10,20,15,2184.840040035404,0.8986485852632984
300,,20,5,2184.89406073998,0.8986435733242824
200,30,20,2,2185.1250570617112,0.8986221405236484
300,20,20,5,2186.0695520210984,0.8985344827755828
200,10,20,2,2186.98799454186,0.8984492066035351
200,,20,2,2187.023752130024,0.8984458858343837
200,15,20,2,2187.747770403316,0.898378635348473
200,5,20,25,2189.6170068672905,0.8982049082740137
500,30,20,2,2189.8819483956386,0.8981802725694569
300,,20,10,2190.621910095097,0.8981114511174493
500,10,20,25,2190.6767048821657,0.8981063539063429
100,20,20,2,2191.432039552918,0.8980360769258784
300,10,20,2,2191.90175883352,0.8979923616267874
500,,20,30,2192.1692193820586,0.897967465726804
500,,20,5,2193.393191170147,0.8978534965985729
300,20,20,15,2193.4934679176517,0.8978441565921278
500,30,20,30,2193.8773990518853,0.897808392417904
200,,20,5,2194.0916722229713,0.8977884295985172
300,30,20,10,2194.3327288344963,0.8977659691620493
500,20,20,15,2194.480711743808,0.897752179640295
300,10,20,15,2194.6857576466537,0.8977330712690024
500,5,20,15,2195.7806653228317,0.8976310058357294
500,30,20,25,2196.097259494797,0.8976014839769227
300,30,20,5,2199.4115365860653,0.8972921778725044
500,,20,10,2199.413306517217,0.8972920125684273
200,15,20,15,2199.9228333686033,0.8972444193861072
500,30,20,5,2200.3385599957473,0.8972055795989993
300,10,20,5,2201.101975406372,0.8971342374340682
500,20,20,2,2203.9217124962106,0.8968705148102752
300,10,20,10,2206.494889736462,0.8966295576487582
500,5,20,25,2206.5164021372793,0.8966275420019156
300,10,20,25,2207.0960284202847,0.8965732253756364
300,30,20,30,2207.124463862706,0.8965705603307067
500,15,20,30,2208.3286171796467,0.8964576723815052
300,20,20,25,2208.643554233568,0.8964281372474461
300,15,20,5,2209.9327982065583,0.8963071866559396
500,5,20,10,2210.279572905989,0.8962746418967387
200,10,20,25,2210.7102407958882,0.8962342166639405
300,20,20,10,2211.4474871072484,0.8961649957450813
300,5,20,10,2211.837488195613,0.8961283687523693
100,,20,15,2211.95439995395,0.8961173877141511
200,10,20,10,2212.0149293101745,0.8961117022138727
100,30,20,5,2212.762772137449,0.8960414447753104
500,20,20,5,2213.366757313845,0.8959846849667515
300,,20,15,2213.7390360045515,0.8959496921742919
100,20,20,10,2214.5865474466655,0.8958700073467464
100,20,20,30,2214.8282958363166,0.8958472720582591
300,5,20,30,2215.3583815942757,0.8957974113221793
200,10,20,30,2215.6415281545783,0.8957707732032127
300,30,20,15,2216.4275013074916,0.8956968118666888
100,,20,2,2218.425552392224,0.895508673943817
500,10,20,2,2219.058991698459,0.8954489934531588
500,20,20,10,2219.7484192403026,0.895384018577918
200,15,20,5,2220.0961965581614,0.8953512347585874
200,,20,10,2221.1926445615436,0.8952478426047548
200,30,20,15,2222.38953195179,0.8951349210028362
200,5,20,5,2222.538032776491,0.8951209062940995
300,,20,25,2222.5383804968706,0.8951208734770222
100,15,20,2,2222.835672221801,0.8950928138655079
500,10,20,10,2223.15057573112,0.8950630878884441
300,10,20,30,2223.5050915715883,0.8950296175835522
500,15,20,2,2224.24392236763,0.8949598464491209
300,5,20,15,2224.910206935612,0.8948969063056706
500,,20,15,2225.37440116147,0.8948530453547615
300,30,20,25,2225.418234813608,0.8948489031120694
100,30,20,15,2225.74421846312,0.894818095375979
500,20,20,25,2226.8613769564313,0.8947124818499687
300,,20,30,2227.3294294511743,0.8946682175190059
500,10,20,15,2227.6577199522926,0.8946371651101777
300,15,20,30,2227.666059211205,0.8946363762550528
200,15,20,30,2229.340865201687,0.8944778875425975
100,10,20,25,2231.4150800746374,0.8942814372274618
500,5,20,5,2232.1834921004292,0.8942086140195716
500,,20,25,2232.4086064319627,0.8941872749512618
100,30,20,30,2233.4356137358154,0.8940898954323225
200,20,20,25,2233.7875173799725,0.8940565180762052
100,30,20,2,2235.610370122087,0.8938835399739619
100,15,20,5,2238.6837129500973,0.8935915781577897
200,15,20,10,2239.0814350365367,0.8935537659928515
500,,20,2,2239.4543874679543,0.8935183026216411
500,10,20,5,2243.4771654871474,0.8931354084997288
500,30,20,15,2244.7660083496485,0.8930125891276555
200,,20,15,2249.838749632178,0.8925285006526528
200,20,20,2,2251.7949881730665,0.892341526105191
100,10,20,2,2253.602116849018,0.8921686588740142
200,20,20,5,2254.420400610236,0.8920903374577257
300,20,20,30,2254.5919779939504,0.8920739114511764
300,30,20,2,2254.9170011850165,0.8920427918423885
300,15,20,2,2255.3506675176636,0.8920012631222725
200,20,20,15,2255.376899039028,0.8919987508853158
100,5,20,2,2256.4079873890396,0.8918999786715032
200,10,20,15,2258.9212353754165,0.8916590351312353
200,15,20,25,2260.236763218813,0.8915328093426307
200,,20,25,2260.340497422283,0.8915228528495677
100,,20,25,2260.777630894566,0.8914808914041165
100,20,20,15,2265.267212525339,0.891049456529622
100,5,20,5,2266.785029879421,0.8909034053919207
100,15,20,15,2273.270794244177,0.8902782141550855
200,20,20,30,2274.5620306481287,0.8901535330116609
200,20,20,10,2284.1232992674113,0.8892280985712467
100,,20,5,2288.10077671358,0.8888419754975122
100,30,20,10,2291.2249267144994,0.8885382201486643
100,10,20,5,2300.0722111779187,0.887675766201343
100,,20,30,2320.9739543574146,0.8856250132872794
100,15,20,30,2342.679922300309,0.8834757184725405
100,5,30,30,2976.1783996143845,0.8119347985375722
100,30,30,30,2982.10739452767,0.8111847438471073
100,10,30,25,2985.596310823785,0.8107426766138311
100,5,30,25,3007.757965145365,0.8079225886854728
100,15,30,5,3014.1196817691903,0.8071092025412437
100,20,30,30,3014.313814446294,0.8070843544152417
300,,30,15,3015.410983122086,0.8069438915853699
200,,30,10,3018.406581303335,0.8065601257970094
500,30,30,10,3019.2947522252803,0.8064462690688827
300,,30,5,3026.253829398329,0.8055530090603171
300,10,30,30,3027.755374558585,0.8053600025323324
100,5,30,10,3029.8446317558914,0.8050912930312815
100,20,30,5,3030.2636683941078,0.8050373763806759
500,,30,10,3030.886680017838,0.8049572008710264
200,30,30,15,3031.400837984404,0.8048910213496241
100,15,30,2,3033.7747070281416,0.8045853247167645
100,15,30,25,3039.7304546409696,0.8038173158870554
300,5,30,25,3042.6535733795213,0.803439821223285
500,10,30,2,3045.0678335309212,0.8031277675073144
500,5,30,15,3045.1942028501608,0.803111426901729
500,30,30,25,3045.668568916233,0.8030500813676535
200,15,30,25,3047.1784004265805,0.8028547647125927
500,10,30,30,3047.693555865935,0.8027881004009909
500,20,30,30,3048.4723520796742,0.8026872979406826
100,15,30,10,3049.6078823370685,0.802540275926579
300,20,30,25,3050.5205495498103,0.8024220692654251
300,,30,2,3051.8004494012616,0.8022562398535463
200,5,30,5,3051.878666500184,0.80224610344934
300,20,30,15,3052.08093151123,0.8022198900746227
100,30,30,2,3052.1199097150743,0.8022148383326534
500,10,30,15,3052.463503014354,0.8021703043802316
500,20,30,15,3052.5351361924045,0.802161019200523
300,5,30,2,3052.6746348498464,0.8021429365894535
200,5,30,15,3052.7766099618184,0.8021297174713955
500,5,30,25,3052.9715732415098,0.8021044429911279
100,5,30,15,3053.266124972841,0.8020662550883035
200,30,30,2,3053.472130114154,0.8020395448422997
500,,30,30,3053.6055245614984,0.8020222482034618
300,20,30,5,3054.1647886467545,0.8019497228005217
200,15,30,15,3054.3652848098272,0.8019237192108112
500,20,30,25,3055.2342054957903,0.8018110037734377
200,30,30,25,3057.0055424459424,0.8015811285916281
500,,30,2,3057.478309980204,0.8015197526779386
300,30,30,25,3057.6134160369925,0.8015022111137298
500,5,30,2,3058.3753467450524,0.8014032709376546
300,15,30,5,3059.099250938482,0.8013092458407027
300,,30,10,3059.3271986435648,0.8012796339941155
200,30,30,10,3060.4482251056797,0.8011339734686244
500,,30,5,3061.221773843998,0.8010334313298881
300,10,30,25,3061.3724072268747,0.8010138497726385
500,10,30,10,3062.3670463452117,0.8008845276682522
500,5,30,5,3062.7458420274916,0.8008352659404471
500,15,30,2,3063.298292377393,0.8007634097982547
100,20,30,2,3063.4730402574387,0.800740677983395
500,5,30,10,3063.5675013894765,0.8007283896093382
100,10,30,5,3064.333617100684,0.8006287122233072
100,,30,10,3064.501999114036,0.8006068011226448
300,10,30,15,3064.835714670313,0.8005633720530326
300,15,30,30,3065.202702022692,0.800515607599178
500,30,30,15,3065.566059288125,0.800468309977066
500,15,30,10,3065.568929194554,0.8004679363837153
100,10,30,2,3065.9285438031065,0.8004211203731855
100,20,30,10,3066.787957855819,0.8003092163082751
200,,30,25,3067.4425116608586,0.8002239659989396
300,20,30,2,3067.5361400748184,0.800211770172218
100,10,30,30,3068.01642144324,0.8001492039485166
100,,30,30,3068.343900624807,0.8001065376397156
200,15,30,30,3068.4719554699113,0.8000898525083673
200,10,30,25,3068.6038336839747,0.8000726684766116
300,15,30,2,3068.6994939587917,0.8000602032627129
500,10,30,25,3068.9470720530026,0.8000279402726401
300,10,30,10,3068.979715885747,0.8000236861170383
200,15,30,10,3069.1627462712854,0.799999832695602
200,20,30,10,3069.180994610229,0.7999974544041959
100,30,30,25,3069.6955515724417,0.7999303867862995
200,20,30,15,3071.5092944077583,0.7996938929552273
500,,30,15,3071.6088086644477,0.79968091325414
500,30,30,30,3071.653796229842,0.7996750453623798
200,10,30,5,3071.8437021598143,0.7996502742941944
300,30,30,5,3072.2985605205386,0.7995909369686904
300,30,30,2,3073.659530499526,0.799413342815892
100,15,30,15,3075.0674755119844,0.7992295360777837
100,,30,2,3075.3036066339637,0.7991987009982322
100,,30,5,3075.32352566869,0.7991960997714833
300,15,30,25,3075.3286375717066,0.7991954322053505
200,30,30,30,3075.4208165068826,0.7991833943187862
500,15,30,5,3075.6301673713106,0.799156053305366
500,30,30,5,3076.0177144470445,0.79910543513354
300,30,30,30,3076.425217841236,0.799052203554719
300,10,30,5,3076.5492928314115,0.7990359944178922
500,20,30,5,3077.213870956515,0.7989491629100229
200,,30,15,3079.0835697258713,0.7987047738508019
500,15,30,30,3079.2038473008256,0.7986890472399559
500,10,30,5,3079.5884237962277,0.7986387587243646
300,5,30,30,3079.865736629962,0.7986024924686844
500,15,30,15,3079.9193313537585,0.7985954831126749
200,10,30,10,3081.0384519469344,0.7984490916860635
200,5,30,30,3081.412858065986,0.798400103995975
500,15,30,25,3082.066888157055,0.7983145157302947
300,10,30,2,3084.4808794959454,0.7979984566074988
200,20,30,2,3084.9029534832275,0.7979431698778601
200,10,30,30,3086.469215553902,0.7977379418407115
300,5,30,10,3087.2449647652634,0.7976362564913686
100,10,30,10,3087.989148158278,0.7975386847796251
500,5,30,30,3088.9760093496957,0.7974092587153128
200,20,30,30,3089.5976650527305,0.7973277078310143
100,5,30,5,3090.9277210742325,0.7971531714964442
500,,30,25,3092.046336644547,0.7970063232356688
300,20,30,30,3092.387073439181,0.7969615818454889
200,5,30,10,3092.518865037121,0.7969442752618435
300,,30,30,3095.209558769783,0.79659077801601
100,15,30,30,3095.442398894936,0.7965601735550039
300,15,30,10,3095.445567502766,0.7965597570579259
500,20,30,10,3095.6625461479134,0.7965312353253243
200,15,30,5,3095.9357278458874,0.7964953228869776
100,30,30,5,3096.408731675333,0.7964331343576679
300,5,30,5,3096.4968759566223,0.7964215444727314
500,20,30,2,3097.119310265111,0.7963396926538335
200,,30,30,3097.7739106541376,0.7962535931582939
200,20,30,25,3097.8953357913833,0.7962376201266912
200,30,30,5,3098.3231482956276,0.7961813379714265
200,20,30,5,3099.8677740234025,0.7959780654207342
100,,30,15,3101.4543112282568,0.7957691718507005
300,15,30,15,3101.8372935250177,0.7957187299527553
300,5,30,15,3102.011793133404,0.7956957448629878
300,,30,25,3102.30904747478,0.7956565875414605
200,10,30,15,3102.551941308943,0.7956245883452462
300,30,30,10,3102.80486577843,0.7955912650355765
100,30,30,15,3102.9907801455506,0.7955667687099877
100,30,30,10,3103.5636508874713,0.795491277265834
200,5,30,2,3103.826231581947,0.7954566703944044
200,,30,5,3104.5470964494352,0.7953616488232025
200,10,30,2,3105.285158320115,0.7952643375485522
300,30,30,15,3107.779953254055,0.7949352349728671
200,15,30,2,3110.4347616257805,0.7945847338484995
100,5,30,2,3111.833094405787,0.7943999986021331
500,30,30,2,3117.6483209298294,0.7936308521269975
100,20,30,25,3117.9869335208227,0.7935860215499009
200,,30,2,3118.2878716342725,0.7935461747947373
300,20,30,10,3119.4817034240664,0.7933880634654733
100,,30,25,3121.460830631734,0.793125814118326
200,5,30,25,3124.4487615167745,0.7927295755334762
100,10,30,15,3143.6356777541896,0.790176106821302
100,20,30,15,3150.9426743410463,0.7891995532532701
